cuda_device : 0
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : test
m : TSD
prev_z_method : separate
dataset : camrest
exp_setting : bi-id
seed : 0
vocab_size : 1600
embedding_size : 300
hidden_size : 50
split : (3, 1, 1)
lr : 0.003
lr_decay : 0.5
vocab_path : ./vocab/vocab-camrest.pkl
fasttext_path : ./data/fasttext/wiki.multi.id.vec
data : ./data/CamRest676/bi/IndoCamRest676_bi.json
entity : ./data/CamRest676/bi/ontology_indo_bi.json
db : ./data/CamRest676/bi/kb_indo_bi.json
batch_size : 32
z_length : 8
degree_size : 5
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
cuda : False
spv_proportion : 100
max_ts : 40
early_stop_count : 3
new_vocab : True
model_path : ./models/camrest.pkl
result_path : ./results/camrest-rl.csv
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
656,0,saya ingin sebuah restoran murah yang menyediakan makanan yunani,yunani murah EOS_Z1,yunani murah EOS_Z1,tidak ada restoran yunani di bagian area_SLOT dari kota . apakah kamu ingin mencoba hal lain ?,saya tidak dapat menemukan sebuah restoran yunani . apakah ada yang kamu minati .,10,15,True
661,0,saya menginginkan restoran yang menengah yang berada di utara kota,menengah utara EOS_Z1,menengah utara EOS_Z1,name_SLOT adalah restoran food_SLOT di bagian utara kota . apakah kamu ingin tahu lokasinya ?,"terdapat dua restoran dengan harga yang menengah di daerah utara , sebuah restoran food_SLOT dan sebuah restoran food_SLOT . apakah kamu menginginkan informasi lebih lanjut ?",11,27,True
657,0,"tolong , sebuah restoran dengan harga yang menengah di bagian utara kota .",menengah utara EOS_Z1,menengah utara EOS_Z1,name_SLOT adalah restoran food_SLOT di utara kota .,name_SLOT adalah sebuah restoran bagus di bagian utara kota dan berada di kisaran harga yang menengah . apakah kamu menginginkan lokasi mereka ?,14,24,True
572,0,saya sedang mencari restoran yang mahal di bagian selatan .,mahal selatan EOS_Z1,mahal selatan EOS_Z1,name_SLOT adalah restoran food_SLOT di selatan kota . apakah kamu ingin tahu lokasinya ?,"hai ! kami memiliki restoran food_SLOT , food_SLOT , food_SLOT , dan food_SLOT yang sesuai dengan tagihan tersebut . apakah anda memiliki preferensi ?",11,25,True
647,0,"halo , saya mencari sebuah restoran yang mahal yang menyediakan makanan vegetarian .",rusia mahal EOS_Z1,vegeetarian mahal EOS_Z1,tidak ada restoran rusia di kota . apakah kamu ingin mencoba hal lain ?,tidak ada restoran yang cocok dengan permintaanmu . apakah kamu ingin restoran yang lain ?,14,16,True
558,0,tolong sarankan saya restoran venesia dengan harga yang menengah .,menengah menengah EOS_Z1,venetia menengah EOS_Z1,"saya mohon maaf , tidak ada restoran yang menengah di daerah area_SLOT . apakah kamu memiliki preferensi untuk anda ?",saya mohon maaf . tidak ada restoran yang memenuhi kriteria tersebut . apakah anda ingin mencoba suatu hal lain ?,11,21,True
596,0,saya mencari akan restoran kuba di bagian utara di kota .,kuba utara EOS_Z1,kuba utara EOS_Z1,name_SLOT adalah restoran kuba di utara kota .,"saya mohon maaf , saya tidak dapat mencari restoran kuba untuk anda di bagian utara dari kota . apakah ada tipe makanan yang berbeda yang anda ingin saya carikan ?",12,31,True
659,0,saya ingin sebuah restoran di daerah manapun yang menyediakan makanan skandinavia,skandinavia tidak peduli EOS_Z1,skandinavia tidak peduli EOS_Z1,tidak ada restoran skandinavia di bagian area_SLOT kota . apakah kamu ingin mencoba hal lain ?,tidak ada restoran yang menyediakan makanan skandinavia yang tersedia . apakah ada restoran lain yang ingin kamu coba ?,12,20,True
550,0,carikan saya restoran mahal yang menyediakan makanan internasional .,internasional mahal EOS_Z1,internasional mahal EOS_Z1,tidak ada restoran yang menyediakan makanan internasional . apakah kamu ingin mencoba yang lain ?,maafkan saya . saya tidak bisa menemukan restoran apapun yang menyediakan makanan internasional di kisaran harga yang mahal .,10,20,True
592,0,"halo , saya mencari restoran di selatan kota yang menyajikan makanan internasional .",internasional selatan EOS_Z1,internasional selatan EOS_Z1,tidak ada restoran yang menyediakan makanan internasional .,"saya mohon maaf , tidak ada restoran makanan internasional di bagian selatan dari kota . apakah anda ingin tipe makanan yang lain ?",14,24,True
