cuda_device : 0
eos_m_token : EOS_M
beam_len_bonus : 0.6
mode : test
m : TSD
prev_z_method : separate
dataset : kvret
seed : 0
intent : all
vocab_size : 1400
embedding_size : 300
hidden_size : 50
split : None
lr : 0.003
lr_decay : 0.5
vocab_path : ./vocab/vocab-kvret.pkl
fasttext_path : ./data/fasttext/wiki.multi.id.vec
train : ./data/kvret/bi/IndoSMD_train_bi.json
dev : ./data/kvret/bi/IndoSMD_dev_bi.json
test : ./data/kvret/bi/IndoSMD_test_bi.json
entity : ./data/kvret/bi/kvret_indo_entities_bi.json
batch_size : 32
degree_size : 5
z_length : 8
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 2
cuda : False
spv_proportion : 100
alpha : 0.0
max_ts : 40
early_stop_count : 3
new_vocab : True
model_path : ./models/kvret.pkl
result_path : ./results/kvret.csv
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
242,0,will it be warm in grand rapid on saturday ?,warm ; saturday ; grand rapid EOS_Z1,warm ; saturday ; grand rapid EOS_Z1,it will not be warm in grand rapid on saturday .,it will not be warm in grand rapid on saturday .,11,12,True
330,0,where do i live ?,EOS_Z1,EOS_Z1,your home is at time_SLOT .,home is listed a address_SLOT,6,6,True
198,0,what 's the temperature going to be like this week,EOS_Z1,EOS_Z1,what city are you wanting to know the temperature for ?,what city are you in ?,11,7,True
65,0,"who 's showing up for tennis , and what 's the date on that ?",tennis EOS_Z1 date party,tennis EOS_Z1 event party,your tennis event on date_SLOT at time_SLOT with party_SLOT .,party_SLOT and party_SLOT will be attending your event_SLOT .,16,10,True
206,0,seperti apakah cuaca pekan ini,pekan EOS_Z1,pekan EOS_Z1,kota apa yang kamu ingin tahu ?,cuaca kota apa yang kamu inginkan ?,6,8,True
264,0,"i need to find out the party attending and the date for my lab appointment , thanks .",lab appointment EOS_Z1 date party,lab appointment EOS_Z1 date party,you have a lab appointment on date_SLOT at time_SLOT .,your lab appointment is on date_SLOT and your party_SLOT will be attending .,19,14,True
76,0,remind me about my lab appointment,lab appointment EOS_Z1,lab appointment EOS_Z1,your lab appointment is at time_SLOT .,what date is your appointment ?,7,7,True
149,0,where can i find a parking garage ?,parking garage EOS_Z1,parking garage EOS_Z1,poi_SLOT is distance_SLOT away .,poi_SLOT is at 481amaranta ave .,9,7,True
162,0,find the nearest shopping mall on the map,nearest ; shopping EOS_Z1,nearest ; shopping EOS_Z1 distance,"the nearest shopping center is poi_SLOT , it is distance_SLOT away .",the nearest one is poi_SLOT but there is traffic_info_SLOT distance_SLOT . there is also poi_SLOT distance_SLOT farther but with traffic_info_SLOT on it direction,9,24,True
258,0,remind me to watch the football game on the 1st,1st ; football EOS_Z1,1st EOS_Z1,"okay , setting a reminder for your football game on the 1st at address_SLOT",what time on the 1st should i set a reminder to watch the football game ?,11,17,True
239,0,what time is my doctor <unk> and who is it with ?,doctor EOS_Z1 date party time,doctor appointment EOS_Z1 event,you have two doctor 's appointment scheduled .,are you talking about the event_SLOT on date_SLOT or the one on date_SLOT ?,13,15,True
68,0,is there snow in the forecast for the week,snow EOS_Z1,snow EOS_Z1,what city are you wanting to know the forecast for ?,what city can i give you this weather information for ?,10,12,True
11,0,is it snowing in redwood city right now ?,redwood city EOS_Z1,redwood city EOS_Z1 weather_attribute,it will be weather_attribute_SLOT in redwood city,it is weather_attribute_SLOT in redwood city today .,10,9,True
145,0,"car i need a hospital , please send me a quick route to the one near me in the direction we 're driving",hospital EOS_Z1,near ; hospital EOS_Z1,poi_SLOT is distance_SLOT away .,poi_SLOT is on the way .,24,7,True
26,0,what is the weather going to be today and tomorrow,today EOS_Z1,today EOS_Z1,what city are you wanting to know the weather for ?,what city would you like to know the weather about ?,11,12,True
192,0,take me to my friend 's house,friend EOS_Z1,friend EOS_Z1,jill life at address_SLOT ave .,"your friend house is on address_SLOT street , there is traffic_info_SLOT on our way but we 're just distance_SLOT away",8,21,True
97,0,where can i get grocery ?,grocery EOS_Z1,grocery EOS_Z1,poi_SLOT is distance_SLOT away .,poi_SLOT is distance_SLOT away .,7,6,True
142,0,will it snow this week,snow ; week EOS_Z1,snow EOS_Z1,what city are you wanting to know if it will snow for ?,what city can i check for snow for you ?,6,11,True
195,0,what is the weather going to be like today and tomorrow,today EOS_Z1,today EOS_Z1,what city are you wanting to know the weather for ?,what city are you wanting to know the weather for ?,12,12,True
39,0,set a reminder for my swimming plan,swimming EOS_Z1,swimming EOS_Z1,what time is your swimming appointment ?,swimming plan,8,3,True
209,0,what 's the weather forecast for tomorrow,tomorrow EOS_Z1,tomorrow EOS_Z1,what city are you in ?,what city are you asking about ?,8,8,True
38,0,is it gon na be dry in redwood city in next few day ?,dry ; next few day ; redwood city,next few day ; dry ; redwood city EOS_Z1,it will not be dry in redwood day .,what day would you like the forcast for ?,15,10,True
310,0,is there a grocery store within 3 mile of me ?,grocery store EOS_Z1,grocery store EOS_Z1,poi_SLOT is distance_SLOT away .,poi_SLOT is distance_SLOT away at address_SLOT there is currently traffic_info_SLOT on the route,12,14,True
